#Organism/Name,Kingdom,Group,SubGroup,Size (Mb),Chrs,Organelles,Plasmids,BioProjects
Aciduliprofundum,Archaea,Euryarchaeota,unclassified Euryarchaeota,1.43709,1,-,-,1
Aciduliprofundum boonei,Archaea,Euryarchaeota,unclassified Euryarchaeota,2.98181,1,-,-,2
Acinetobacter,Bacteria,Proteobacteria,Gammaproteobacteria,4.90237,1,-,11,85
Acinetobacter bacteriophage AP22,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.046387,1,-,-,1
Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,6.04643,1,-,22,1126
Acinetobacter baylyi,Bacteria,Proteobacteria,Gammaproteobacteria,3.7469,-,-,-,3
Acinetobacter beijerinckii,Bacteria,Proteobacteria,Gammaproteobacteria,3.59494,-,-,-,3
Acinetobacter bereziniae,Bacteria,Proteobacteria,Gammaproteobacteria,5.02653,-,-,1,5
Acinetobacter bohemicus,Bacteria,Proteobacteria,Gammaproteobacteria,3.65769,-,-,-,1
Acinetobacter bouvetii,Bacteria,Proteobacteria,Gammaproteobacteria,3.38882,-,-,-,2
Acinetobacter brisouii,Bacteria,Proteobacteria,Gammaproteobacteria,3.14851,-,-,-,4
Acinetobacter calcoaceticus,Bacteria,Proteobacteria,Gammaproteobacteria,4.10541,1,-,2,16
Acinetobacter gerneri,Bacteria,Proteobacteria,Gammaproteobacteria,4.59517,-,-,-,3
Acinetobacter guillouiae,Bacteria,Proteobacteria,Gammaproteobacteria,4.90577,-,-,-,4
Acinetobacter gyllenbergii,Bacteria,Proteobacteria,Gammaproteobacteria,4.55135,-,-,-,4
Acinetobacter haemolyticus,Bacteria,Proteobacteria,Gammaproteobacteria,3.7152,-,-,-,8
Acinetobacter harbinensis,Bacteria,Proteobacteria,Gammaproteobacteria,2.89979,-,-,-,1
Acinetobacter indicus,Bacteria,Proteobacteria,Gammaproteobacteria,3.21164,-,-,-,4
Acinetobacter johnsonii,Bacteria,Proteobacteria,Gammaproteobacteria,3.69001,-,-,-,6
Acinetobacter junii,Bacteria,Proteobacteria,Gammaproteobacteria,3.78235,-,-,1,10
Acinetobacter lwoffii,Bacteria,Proteobacteria,Gammaproteobacteria,3.67768,1,-,4,10
Acinetobacter nectaris,Bacteria,Proteobacteria,Gammaproteobacteria,2.66894,-,-,-,1
Acinetobacter nosocomialis,Bacteria,Proteobacteria,Gammaproteobacteria,4.19141,-,-,2,18
Acinetobacter oleivorans,Bacteria,Proteobacteria,Gammaproteobacteria,4.15254,1,-,-,4
Acinetobacter parvus,Bacteria,Proteobacteria,Gammaproteobacteria,3.60557,-,-,-,4
Acinetobacter phage 133,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.159801,1,-,-,1
Acinetobacter phage AB3,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.031185,1,-,-,1
Acinetobacter phage AP205,Viruses,ssRNA viruses,Leviviridae,0.004268,1,-,-,1
Acinetobacter phage Abp1,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.042185,1,-,-,1
Acinetobacter phage Ac42,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.167716,1,-,-,1
Acinetobacter phage Acj61,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.164093,1,-,-,1
Acinetobacter phage Acj9,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.169947,1,-,-,1
Acinetobacter phage Bphi-B1251,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.045364,1,-,-,1
Acinetobacter phage IME_AB3,Viruses,"dsDNA viruses, no RNA stage",unclassified,0.04305,1,-,-,1
Acinetobacter phage Petty,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.040739,1,-,-,1
Acinetobacter phage Presley,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.077792,1,-,-,1
Acinetobacter phage YMC-13-01-C62,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.044844,1,-,-,1
Acinetobacter phage YMC13/03/R2096,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.09817,1,-,-,1
Acinetobacter phage ZZ1,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.166682,1,-,-,1
Acinetobacter phage vB_AbaM_Acibel004,Viruses,"dsDNA viruses, no RNA stage",Myoviridae,0.09973,1,-,-,1
Acinetobacter phage vB_AbaP_Acibel007,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.042654,1,-,-,1
Acinetobacter pittii,Bacteria,Proteobacteria,Gammaproteobacteria,4.37218,-,-,3,21
Acinetobacter radioresistens,Bacteria,Proteobacteria,Gammaproteobacteria,3.36608,-,-,4,9
Acinetobacter rudis,Bacteria,Proteobacteria,Gammaproteobacteria,4.06669,-,-,-,2
Acinetobacter schindleri,Bacteria,Proteobacteria,Gammaproteobacteria,3.4149,-,-,-,3
Acinetobacter soli,Bacteria,Proteobacteria,Gammaproteobacteria,3.49815,-,-,-,4
Acinetobacter tandoii,Bacteria,Proteobacteria,Gammaproteobacteria,4.07892,-,-,-,3
Acinetobacter tjernbergiae,Bacteria,Proteobacteria,Gammaproteobacteria,3.69238,-,-,-,3
Acinetobacter towneri,Bacteria,Proteobacteria,Gammaproteobacteria,2.95235,-,-,-,3
Acinetobacter ursingii,Bacteria,Proteobacteria,Gammaproteobacteria,3.82548,-,-,-,7
Acinetobacter venetianus,Bacteria,Proteobacteria,Gammaproteobacteria,3.54451,1,-,2,3
Aconitum latent virus,Viruses,ssRNA viruses,Betaflexiviridae,0.008657,1,-,-,1
Acremonium chrysogenum,Eukaryota,Fungi,Ascomycetes,28.5905,-,1,-,1
Acromyrmex echinatior,Eukaryota,Animals,Insects,295.945,-,-,-,1
Acropora digitifera,Eukaryota,Animals,Other Animals,364.965,-,1,-,1
Actibacterium atlanticum,Bacteria,Proteobacteria,Alphaproteobacteria,3.17638,-,-,-,1
Actibacterium mucosum,Bacteria,Proteobacteria,Alphaproteobacteria,3.71534,-,-,-,1
Actinidia chinensis,Eukaryota,Plants,Land Plants,604.217,-,1,-,1
Actinidia virus B,Viruses,ssRNA viruses,Betaflexiviridae,0.007488,1,-,-,1
Actinoalloteichus cyanogriseus,Bacteria,Actinobacteria,Actinobacteria,6.3196,-,-,-,3
Actinoalloteichus spitiensis,Bacteria,Actinobacteria,Actinobacteria,5.70653,-,-,-,1
Actinobacillus capsulatus,Bacteria,Proteobacteria,Gammaproteobacteria,2.62114,-,-,-,1
Actinobacillus equuli,Bacteria,Proteobacteria,Gammaproteobacteria,2.43153,1,-,-,1
Actinobacillus minor,Bacteria,Proteobacteria,Gammaproteobacteria,2.42526,-,-,-,2
Actinobacillus pleuropneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,2.3755,1,-,10,22
Actinobacillus succinogenes,Bacteria,Proteobacteria,Gammaproteobacteria,2.31966,1,-,-,1
Actinobacillus suis,Bacteria,Proteobacteria,Gammaproteobacteria,2.5016,1,-,-,2
Actinobacillus ureae,Bacteria,Proteobacteria,Gammaproteobacteria,2.35447,-,-,-,1
Actinobacteria bacterium IMCC26207,Bacteria,Actinobacteria,Actinobacteria,3.3168,-,-,-,1
Actinobacteria bacterium IMCC26256,Bacteria,Actinobacteria,Actinobacteria,2.46186,1,-,-,1
Actinobacteria bacterium OK006,Bacteria,Actinobacteria,Actinobacteria,11.9327,-,-,-,1
Actinobacteria bacterium OK074,Bacteria,Actinobacteria,Actinobacteria,10.6681,-,-,-,1
Actinobacteria bacterium OV320,Bacteria,Actinobacteria,Actinobacteria,10.1386,-,-,-,1
Actinobacteria bacterium OV450,Bacteria,Actinobacteria,Actinobacteria,9.20205,-,-,-,1
Actinobacteria bacterium UC5.1-1B11,Bacteria,Actinobacteria,Actinobacteria,2.06966,-,-,-,1
Actinobacteria bacterium UC5.1-1C2,Bacteria,Actinobacteria,Actinobacteria,2.31848,-,-,-,1
Actinobaculum,Bacteria,Actinobacteria,Actinobacteria,2.36601,-,-,-,1
Actinobaculum massiliense,Bacteria,Actinobacteria,Actinobacteria,2.03202,-,-,-,1
Actinobaculum suis,Bacteria,Actinobacteria,Actinobacteria,2.35866,-,-,-,1
Actinocatenispora sera,Bacteria,Actinobacteria,Actinobacteria,6.94724,-,-,-,1
Actinokineospora enzanensis,Bacteria,Actinobacteria,Actinobacteria,8.11986,-,-,-,1
Actinokineospora inagensis,Bacteria,Actinobacteria,Actinobacteria,7.27876,-,-,-,1
Actinokineospora spheciospongiae,Bacteria,Actinobacteria,Actinobacteria,7.52948,-,-,-,1
Actinomadura atramentaria,Bacteria,Actinobacteria,Actinobacteria,6.71058,-,-,-,1
Actinomadura flavalba,Bacteria,Actinobacteria,Actinobacteria,6.16778,-,-,-,1
Actinomadura madurae,Bacteria,Actinobacteria,Actinobacteria,10.3089,-,-,-,2
Actinomadura oligospora,Bacteria,Actinobacteria,Actinobacteria,9.35366,-,-,-,1
Actinomadura rifamycini,Bacteria,Actinobacteria,Actinobacteria,8.38543,-,-,-,1
Actinomyces,Bacteria,Actinobacteria,Actinobacteria,3.83642,1,-,-,20
Actinomyces cardiffensis,Bacteria,Actinobacteria,Actinobacteria,2.21485,-,-,-,1
Actinomyces coleocanis,Bacteria,Actinobacteria,Actinobacteria,1.72384,-,-,-,1
Actinomyces dentalis,Bacteria,Actinobacteria,Actinobacteria,3.53139,-,-,-,1
Actinomyces europaeus,Bacteria,Actinobacteria,Actinobacteria,1.90671,-,-,-,1
Actinomyces georgiae,Bacteria,Actinobacteria,Actinobacteria,2.49802,-,-,-,2
Actinomyces gerencseriae,Bacteria,Actinobacteria,Actinobacteria,3.42002,-,-,-,1
Actinomyces graevenitzii,Bacteria,Actinobacteria,Actinobacteria,2.20573,-,-,-,2
Actinomyces israelii,Bacteria,Actinobacteria,Actinobacteria,4.02577,-,-,-,1
Actinomyces johnsonii,Bacteria,Actinobacteria,Actinobacteria,3.38792,-,-,-,2
Actinomyces massiliensis,Bacteria,Actinobacteria,Actinobacteria,3.41644,-,-,-,2
Actinomyces meyeri,Bacteria,Actinobacteria,Actinobacteria,2.04909,1,-,-,1
Actinomyces naeslundii,Bacteria,Actinobacteria,Actinobacteria,3.11434,-,-,-,1
Actinomyces neuii,Bacteria,Actinobacteria,Actinobacteria,2.27029,-,-,-,2
Actinomyces odontolyticus,Bacteria,Actinobacteria,Actinobacteria,2.432,-,-,-,2
Actinomyces oris,Bacteria,Actinobacteria,Actinobacteria,2.87243,-,-,-,1
Actinomyces phage Av-1,Viruses,"dsDNA viruses, no RNA stage",Podoviridae,0.017171,1,-,-,1
Actinomyces slackii,Bacteria,Actinobacteria,Actinobacteria,3.17109,-,-,-,1
Actinomyces suimastitidis,Bacteria,Actinobacteria,Actinobacteria,2.29413,-,-,-,1
Actinomyces timonensis,Bacteria,Actinobacteria,Actinobacteria,2.93294,-,-,-,1
Actinomyces turicensis,Bacteria,Actinobacteria,Actinobacteria,1.96775,-,-,-,1
Actinomyces urogenitalis,Bacteria,Actinobacteria,Actinobacteria,2.71344,-,-,-,3
Actinomyces vaccimaxillae,Bacteria,Actinobacteria,Actinobacteria,2.33843,-,-,-,1
Actinomyces viscosus,Bacteria,Actinobacteria,Actinobacteria,3.1345,-,-,-,1
Actinomycetospora chiangmaiensis,Bacteria,Actinobacteria,Actinobacteria,5.86108,-,-,-,1
Actinoplanes,Bacteria,Actinobacteria,Actinobacteria,9.23985,1,-,-,2
Actinoplanes friuliensis,Bacteria,Actinobacteria,Actinobacteria,9.37607,1,-,-,1
Actinoplanes globisporus,Bacteria,Actinobacteria,Actinobacteria,10.9885,-,-,-,1
Actinoplanes liguriensis,Bacteria,Actinobacteria,Actinobacteria,12.4463,-,-,-,1
Actinoplanes missouriensis,Bacteria,Actinobacteria,Actinobacteria,8.77347,1,-,-,1
Actinoplanes phage phiAsp2,Viruses,"dsDNA viruses, no RNA stage",Siphoviridae,0.058638,1,-,-,1
Actinoplanes rectilineatus,Bacteria,Actinobacteria,Actinobacteria,10.3203,-,-,-,1
Actinoplanes subtropicus,Bacteria,Actinobacteria,Actinobacteria,11.2573,-,-,-,1
Actinoplanes utahensis,Bacteria,Actinobacteria,Actinobacteria,9.48984,-,-,-,1
Actinopolymorpha alba,Bacteria,Actinobacteria,Actinobacteria,7.98371,-,-,-,1
Actinopolyspora erythraea,Bacteria,Actinobacteria,Actinobacteria,5.3599,-,-,-,1
Actinopolyspora halophila,Bacteria,Actinobacteria,Actinobacteria,5.35329,-,-,-,1
Actinopolyspora iraqiensis,Bacteria,Actinobacteria,Actinobacteria,3.89597,-,-,-,1
Actinopolyspora mortivallis,Bacteria,Actinobacteria,Actinobacteria,4.23335,-,-,-,1
Actinospica acidiphila,Bacteria,Actinobacteria,Actinobacteria,7.30927,-,-,-,1
Actinospica robiniae,Bacteria,Actinobacteria,Actinobacteria,9.91889,-,-,-,1
Actinosynnema mirum,Bacteria,Actinobacteria,Actinobacteria,8.24814,1,-,-,1
Actinosynnema pretiosum,Bacteria,Actinobacteria,Actinobacteria,7.96532,-,-,-,1
Actinotalea fermentans,Bacteria,Actinobacteria,Actinobacteria,3.61774,-,-,-,2
